OpenJDK 64-Bit Server VM (25.202-b05) for bsd-amd64 JRE (Zulu 8.36.0.1-CA-macosx) (1.8.0_202-b05), built on Jan 29 2019 06:07:09 by "zulu_re" with gcc 4.2.1 (Based on Apple Inc. build 5658) (LLVM build 2336.11.00)
Memory: 4k page, physical 16777216k(1673500k free)

/proc/meminfo:

CommandLine flags: -XX:InitialHeapSize=268435456 -XX:MaxHeapSize=4294967296 -XX:+PrintGC -XX:+PrintGCDetails -XX:+PrintGCTimeStamps -XX:+UseCompressedClassPointers -XX:+UseCompressedOops -XX:+UseParallelGC 
Heap
 PSYoungGen      total 76288K, used 35656K [0x000000076ab00000, 0x0000000770000000, 0x00000007c0000000)
  eden space 65536K, 54% used [0x000000076ab00000,0x000000076cdd22e8,0x000000076eb00000)
  from space 10752K, 0% used [0x000000076f580000,0x000000076f580000,0x0000000770000000)
  to   space 10752K, 0% used [0x000000076eb00000,0x000000076eb00000,0x000000076f580000)
 ParOldGen       total 175104K, used 0K [0x00000006c0000000, 0x00000006cab00000, 0x000000076ab00000)
  object space 175104K, 0% used [0x00000006c0000000,0x00000006c0000000,0x00000006cab00000)
 Metaspace       used 7652K, capacity 8001K, committed 8192K, reserved 1056768K
  class space    used 852K, capacity 948K, committed 1024K, reserved 1048576K
29: [GC (Allocation Failure) [PSYoungGen: 132800K->1712K(141824K)] 132824K->1744K(316928K), 0.0018382 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
0.893: [GC (Allocation Failure) [PSYoungGen: 132784K->1696K(266240K)] 132816K->1728K(441344K), 0.0017979 secs] [Times: user=0.01 sys=0.01, real=0.00 secs] 
1.068: [GC (Allocation Failure) [PSYoungGen: 263840K->96K(266752K)] 263872K->1744K(441856K), 0.0019384 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
1.191: [GC (Allocation Failure) [PSYoungGen: 262240K->64K(529408K)] 263888K->1752K(704512K), 0.0005334 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
1.540: [GC (Allocation Failure) [PSYoungGen: 524352K->96K(529408K)] 526040K->1784K(704512K), 0.0008874 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
1.782: [GC (Allocation Failure) [PSYoungGen: 524384K->96K(843264K)] 526072K->1784K(1018368K), 0.0005440 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2.293: [GC (Allocation Failure) [PSYoungGen: 839264K->96K(800768K)] 840952K->1792K(975872K), 0.0005324 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
2.659: [GC (Allocation Failure) [PSYoungGen: 800352K->96K(763904K)] 802048K->1800K(939008K), 0.0009610 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
3.008: [GC (Allocation Failure) [PSYoungGen: 763488K->96K(733184K)] 765192K->1800K(908288K), 0.0005263 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
3.336: [GC (Allocation Failure) [PSYoungGen: 728672K->96K(695808K)] 730376K->1800K(870912K), 0.0006039 secs] [Times: user=0.00 sys=0.00, real=0.01 secs] 
3.652: [GC (Allocation Failure) [PSYoungGen: 695392K->64K(667648K)] 697096K->1768K(842752K), 0.0005376 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
