OpenJDK 64-Bit Server VM (25.202-b05) for bsd-amd64 JRE (Zulu 8.36.0.1-CA-macosx) (1.8.0_202-b05), built on Jan 29 2019 06:07:09 by "zulu_re" with gcc 4.2.1 (Based on Apple Inc. build 5658) (LLVM build 2336.11.00)
Memory: 4k page, physical 16777216k(2128940k free)

/proc/meminfo:

CommandLine flags: -XX:InitialHeapSize=268435456 -XX:MaxHeapSize=4294967296 -XX:+PrintGC -XX:+PrintGCDetails -XX:+PrintGCTimeStamps -XX:+UseCompressedClassPointers -XX:+UseCompressedOops -XX:+UseParallelGC 
Heap
 PSYoungGen      total 76288K, used 34345K [0x000000076ab00000, 0x0000000770000000, 0x00000007c0000000)
  eden space 65536K, 52% used [0x000000076ab00000,0x000000076cc8a7e8,0x000000076eb00000)
  from space 10752K, 0% used [0x000000076f580000,0x000000076f580000,0x0000000770000000)
  to   space 10752K, 0% used [0x000000076eb00000,0x000000076eb00000,0x000000076f580000)
 ParOldGen       total 175104K, used 0K [0x00000006c0000000, 0x00000006cab00000, 0x000000076ab00000)
  object space 175104K, 0% used [0x00000006c0000000,0x00000006c0000000,0x00000006cab00000)
 Metaspace       used 7662K, capacity 7997K, committed 8192K, reserved 1056768K
  class space    used 852K, capacity 948K, committed 1024K, reserved 1048576K
s] 
0.770: [GC (Allocation Failure) [PSYoungGen: 263776K->1584K(272896K)] 263808K->1616K(448000K), 0.0018945 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
0.814: [GC (Allocation Failure) [PSYoungGen: 263728K->1632K(528896K)] 263760K->1664K(704000K), 0.0016632 secs] [Times: user=0.00 sys=0.00, real=0.01 secs] 
1.013: [GC (Allocation Failure) [PSYoungGen: 525920K->128K(528896K)] 525952K->1708K(704000K), 0.0021551 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
1.101: [GC (Allocation Failure) [PSYoungGen: 524416K->96K(1053184K)] 525996K->1692K(1228288K), 0.0005524 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
1.490: [GC (Allocation Failure) [PSYoungGen: 1048672K->64K(1053184K)] 1050268K->1660K(1228288K), 0.0008758 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
1.666: [GC (Allocation Failure) [PSYoungGen: 1048640K->96K(1393152K)] 1050236K->1692K(1568256K), 0.0005425 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2.023: [GC (Allocation Failure) [PSYoungGen: 1388640K->32K(1393152K)] 1390236K->1644K(1568256K), 0.0006201 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
2.248: [GC (Allocation Failure) [PSYoungGen: 1388576K->96K(1323008K)] 1390188K->1708K(1498112K), 0.0005939 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2.509: [GC (Allocation Failure) [PSYoungGen: 1322592K->96K(1264128K)] 1324204K->1708K(1439232K), 0.0010936 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2.722: [GC (Allocation Failure) [PSYoungGen: 1259616K->96K(1200640K)] 1261228K->1716K(1375744K), 0.0005455 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2.914: [GC (Allocation Failure) [PSYoungGen: 1200224K->32K(1147392K)] 1201844K->1652K(1322496K), 0.0005539 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
3.096: [GC (Allocation Failure) [PSYoungGen: 1143328K->96K(1090048K)] 1144948K->1716K(1265152K), 0.0005816 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
3.263: [GC (Allocation Failure) [PSYoungGen: 1089632K->96K(1041920K)] 1091252K->1716K(1217024K), 0.0005242 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
3.439: [GC (Allocation Failure) [PSYoungGen: 1038432K->32K(990208K)] 1040052K->1660K(1165312K), 0.0006197 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
3.604: [GC (Allocation Failure) [PSYoungGen: 989728K->96K(947200K)] 991356K->1724K(1122304K), 0.0005355 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
3.759: [GC (Allocation Failure) [PSYoungGen: 943712K->96K(900096K)] 945340K->1724K(1075200K), 0.0019006 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
3.910: [GC (Allocation Failure) [PSYoungGen: 899680K->96K(861184K)] 901308K->1724K(1036288K), 0.0005420 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
