OpenJDK 64-Bit Server VM (25.202-b05) for bsd-amd64 JRE (Zulu 8.36.0.1-CA-macosx) (1.8.0_202-b05), built on Jan 29 2019 06:07:09 by "zulu_re" with gcc 4.2.1 (Based on Apple Inc. build 5658) (LLVM build 2336.11.00)
Memory: 4k page, physical 16777216k(2312176k free)

/proc/meminfo:

CommandLine flags: -XX:InitialHeapSize=268435456 -XX:MaxHeapSize=4294967296 -XX:+PrintGC -XX:+PrintGCDetails -XX:+PrintGCTimeStamps -XX:+UseCompressedClassPointers -XX:+UseCompressedOops -XX:+UseParallelGC 
Heap
 PSYoungGen      total 76288K, used 34346K [0x000000076ab00000, 0x0000000770000000, 0x00000007c0000000)
  eden space 65536K, 52% used [0x000000076ab00000,0x000000076cc8abf8,0x000000076eb00000)
  from space 10752K, 0% used [0x000000076f580000,0x000000076f580000,0x0000000770000000)
  to   space 10752K, 0% used [0x000000076eb00000,0x000000076eb00000,0x000000076f580000)
 ParOldGen       total 175104K, used 0K [0x00000006c0000000, 0x00000006cab00000, 0x000000076ab00000)
  object space 175104K, 0% used [0x00000006c0000000,0x00000006c0000000,0x00000006cab00000)
 Metaspace       used 7657K, capacity 7997K, committed 8192K, reserved 1056768K
  class space    used 852K, capacity 948K, committed 1024K, reserved 1048576K
797: [GC (Allocation Failure) [PSYoungGen: 133088K->2000K(141824K)] 133112K->2032K(316928K), 0.0021604 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
0.869: [GC (Allocation Failure) [PSYoungGen: 133072K->1984K(267776K)] 133104K->2024K(442880K), 0.0020413 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
1.061: [GC (Allocation Failure) [PSYoungGen: 264128K->96K(267776K)] 264168K->2104K(442880K), 0.0023863 secs] [Times: user=0.01 sys=0.00, real=0.01 secs] 
1.203: [GC (Allocation Failure) [PSYoungGen: 262240K->96K(529920K)] 264248K->2104K(705024K), 0.0005778 secs] [Times: user=0.01 sys=0.00, real=0.01 secs] 
1.591: [GC (Allocation Failure) [PSYoungGen: 524384K->96K(529920K)] 526392K->2120K(705024K), 0.0009300 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
1.875: [GC (Allocation Failure) [PSYoungGen: 524384K->96K(844800K)] 526408K->2136K(1019904K), 0.0006167 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2.449: [GC (Allocation Failure) [PSYoungGen: 839264K->96K(800768K)] 841304K->2136K(975872K), 0.0005878 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2.876: [GC (Allocation Failure) [PSYoungGen: 800352K->96K(763904K)] 802392K->2144K(939008K), 0.0005874 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
3.272: [GC (Allocation Failure) [PSYoungGen: 763488K->96K(733696K)] 765536K->2144K(908800K), 0.0005821 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
3.645: [GC (Allocation Failure) [PSYoungGen: 728672K->96K(695808K)] 730720K->2144K(870912K), 0.0006409 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
4.000: [GC (Allocation Failure) [PSYoungGen: 695392K->96K(668672K)] 697440K->2144K(843776K), 0.0005576 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
