OpenJDK 64-Bit Server VM (25.202-b05) for bsd-amd64 JRE (Zulu 8.36.0.1-CA-macosx) (1.8.0_202-b05), built on Jan 29 2019 06:07:09 by "zulu_re" with gcc 4.2.1 (Based on Apple Inc. build 5658) (LLVM build 2336.11.00)
Memory: 4k page, physical 16777216k(800588k free)

/proc/meminfo:

CommandLine flags: -XX:InitialHeapSize=268435456 -XX:MaxHeapSize=4294967296 -XX:+PrintGC -XX:+PrintGCDetails -XX:+PrintGCTimeStamps -XX:+UseCompressedClassPointers -XX:+UseCompressedOops -XX:+UseParallelGC 
Heap
 PSYoungGen      total 76288K, used 34346K [0x000000076ab00000, 0x0000000770000000, 0x00000007c0000000)
  eden space 65536K, 52% used [0x000000076ab00000,0x000000076cc8a870,0x000000076eb00000)
  from space 10752K, 0% used [0x000000076f580000,0x000000076f580000,0x0000000770000000)
  to   space 10752K, 0% used [0x000000076eb00000,0x000000076eb00000,0x000000076f580000)
 ParOldGen       total 175104K, used 0K [0x00000006c0000000, 0x00000006cab00000, 0x000000076ab00000)
  object space 175104K, 0% used [0x00000006c0000000,0x00000006c0000000,0x00000006cab00000)
 Metaspace       used 7651K, capacity 8001K, committed 8192K, reserved 1056768K
  class space    used 853K, capacity 948K, committed 1024K, reserved 1048576K
.775: [GC (Allocation Failure) [PSYoungGen: 133088K->2000K(141824K)] 133104K->2024K(316928K), 0.0020652 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
0.872: [GC (Allocation Failure) [PSYoungGen: 133072K->2000K(267776K)] 133096K->2024K(442880K), 0.0020816 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
1.111: [GC (Allocation Failure) [PSYoungGen: 264144K->64K(267776K)] 264168K->2064K(442880K), 0.0022188 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
1.294: [GC (Allocation Failure) [PSYoungGen: 262208K->96K(529920K)] 264208K->2096K(705024K), 0.0005551 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
1.851: [GC (Allocation Failure) [PSYoungGen: 524384K->64K(529920K)] 526384K->2064K(705024K), 0.0012570 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2.249: [GC (Allocation Failure) [PSYoungGen: 524352K->96K(501760K)] 526352K->2112K(676864K), 0.0005469 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2.597: [GC (Allocation Failure) [PSYoungGen: 501344K->96K(484864K)] 503360K->2120K(659968K), 0.0005306 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2.941: [GC (Allocation Failure) [PSYoungGen: 479328K->64K(458752K)] 481352K->2088K(633856K), 0.0011198 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
3.265: [GC (Allocation Failure) [PSYoungGen: 458304K->96K(443392K)] 460328K->2128K(618496K), 0.0005494 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
3.568: [GC (Allocation Failure) [PSYoungGen: 438368K->96K(419840K)] 440400K->2128K(594944K), 0.0039479 secs] [Times: user=0.00 sys=0.00, real=0.01 secs] 
3.888: [GC (Allocation Failure) [PSYoungGen: 419424K->96K(406528K)] 421456K->2128K(581632K), 0.0005961 secs] [Times: user=0.00 sys=0.00, real=0.01 secs] 
4.192: [GC (Allocation Failure) [PSYoungGen: 401504K->96K(385024K)] 403536K->2128K(560128K), 0.0007793 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
4.468: [GC (Allocation Failure) [PSYoungGen: 384608K->96K(372736K)] 386640K->2128K(547840K), 0.0005372 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
4.719: [GC (Allocation Failure) [PSYoungGen: 368224K->96K(353280K)] 370256K->2128K(528384K), 0.0005675 secs] [Times: user=0.00 sys=0.00, real=0.01 secs] 
4.959: [GC (Allocation Failure) [PSYoungGen: 352864K->96K(342016K)] 354896K->2128K(517120K), 0.0009006 secs] [Times: user=0.00 sys=0.00, real=0.01 secs] 
5.193: [GC (Allocation Failure) [PSYoungGen: 338016K->96K(324608K)] 340048K->2136K(499712K), 0.0005507 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
5.414: [GC (Allocation Failure) [PSYoungGen: 324192K->96K(314368K)] 326232K->2136K(489472K), 0.0005556 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
5.626: [GC (Allocation Failure) [PSYoungGen: 310880K->96K(298496K)] 312920K->2136K(473600K), 0.0005610 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
5.828: [GC (Allocation Failure) [PSYoungGen: 298080K->96K(289792K)] 300120K->2136K(464896K), 0.0005389 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
6.027: [GC (Allocation Failure) [PSYoungGen: 286304K->96K(275456K)] 288344K->2136K(450560K), 0.0005910 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
6.213: [GC (Allocation Failure) [PSYoungGen: 275040K->96K(267264K)] 277080K->2136K(442368K), 0.0005279 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
6.395: [GC (Allocation Failure) [PSYoungGen: 264288K->96K(254464K)] 266328K->2136K(429568K), 0.0006329 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
6.569: [GC (Allocation Failure) [PSYoungGen: 254048K->96K(246784K)] 256088K->2136K(421888K), 0.0005137 secs] [Times: user=0.00 sys=0.00, real=0.01 secs] 
6.736: [GC (Allocation Failure) [PSYoungGen: 244320K->96K(235520K)] 246360K->2136K(410624K), 0.0005501 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
6.895: [GC (Allocation Failure) [PSYoungGen: 235104K->96K(228864K)] 237144K->2136K(403968K), 0.0005118 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
7.049: [GC (Allocation Failure) [PSYoungGen: 226400K->96K(218112K)] 228440K->2136K(393216K), 0.0005437 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
7.197: [GC (Allocation Failure) [PSYoungGen: 217696K->96K(211456K)] 219736K->2136K(386560K), 0.0005185 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
7.340: [GC (Allocation Failure) [PSYoungGen: 209504K->96K(202240K)] 211544K->2136K(377344K), 0.0005566 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
7.477: [GC (Allocation Failure) [PSYoungGen: 201824K->96K(196608K)] 203864K->2136K(371712K), 0.0005199 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
7.609: [GC (Allocation Failure) [PSYoungGen: 194656K->96K(187904K)] 196696K->2136K(363008K), 0.0005361 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
7.736: [GC (Allocation Failure) [PSYoungGen: 187488K->96K(182272K)] 189528K->2136K(357376K), 0.0005358 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
7.859: [GC (Allocation Failure) [PSYoungGen: 180832K->32K(175104K)] 182872K->2072K(350208K), 0.0005458 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
7.978: [GC (Allocation Failure) [PSYoungGen: 174624K->96K(169984K)] 176664K->2136K(345088K), 0.0005287 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
8.092: [GC (Allocation Failure) [PSYoungGen: 168544K->96K(163328K)] 170584K->2136K(338432K), 0.0005597 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
8.203: [GC (Allocation Failure) [PSYoungGen: 162912K->96K(158720K)] 164952K->2136K(333824K), 0.0005257 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
8.317: [GC (Allocation Failure) [PSYoungGen: 157280K->64K(152576K)] 159320K->2104K(327680K), 0.0008595 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
8.434: [GC (Allocation Failure) [PSYoungGen: 152128K->96K(147968K)] 154168K->2136K(323072K), 0.0012955 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
8.543: [GC (Allocation Failure) [PSYoungGen: 147040K->96K(142848K)] 149080K->2136K(317952K), 0.0005362 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
8.642: [GC (Allocation Failure) [PSYoungGen: 142432K->96K(138752K)] 144472K->2136K(313856K), 0.0005300 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
8.736: [GC (Allocation Failure) [PSYoungGen: 137824K->64K(133632K)] 139864K->2104K(308736K), 0.0005333 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
8.827: [GC (Allocation Failure) [PSYoungGen: 133184K->96K(130048K)] 135224K->2136K(305152K), 0.0005255 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
8.920: [GC (Allocation Failure) [PSYoungGen: 129120K->64K(125440K)] 131160K->2104K(300544K), 0.0007421 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
9.016: [GC (Allocation Failure) [PSYoungGen: 124992K->96K(121856K)] 127032K->2136K(296960K), 0.0005217 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
9.108: [GC (Allocation Failure) [PSYoungGen: 120928K->0K(117760K)] 122968K->2040K(292864K), 0.0005786 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
9.193: [GC (Allocation Failure) [PSYoungGen: 117248K->96K(114688K)] 119288K->2136K(289792K), 0.0005269 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
9.271: [GC (Allocation Failure) [PSYoungGen: 113760K->96K(110592K)] 115800K->2136K(285696K), 0.0005165 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
