OpenJDK 64-Bit Server VM (25.202-b05) for bsd-amd64 JRE (Zulu 8.36.0.1-CA-macosx) (1.8.0_202-b05), built on Jan 29 2019 06:07:09 by "zulu_re" with gcc 4.2.1 (Based on Apple Inc. build 5658) (LLVM build 2336.11.00)
Memory: 4k page, physical 16777216k(2706936k free)

/proc/meminfo:

CommandLine flags: -XX:InitialHeapSize=268435456 -XX:MaxHeapSize=4294967296 -XX:+PrintGC -XX:+PrintGCDetails -XX:+PrintGCTimeStamps -XX:+UseCompressedClassPointers -XX:+UseCompressedOops -XX:+UseParallelGC 
Heap
 PSYoungGen      total 76288K, used 35657K [0x000000076ab00000, 0x0000000770000000, 0x00000007c0000000)
  eden space 65536K, 54% used [0x000000076ab00000,0x000000076cdd26e0,0x000000076eb00000)
  from space 10752K, 0% used [0x000000076f580000,0x000000076f580000,0x0000000770000000)
  to   space 10752K, 0% used [0x000000076eb00000,0x000000076eb00000,0x000000076f580000)
 ParOldGen       total 175104K, used 0K [0x00000006c0000000, 0x00000006cab00000, 0x000000076ab00000)
  object space 175104K, 0% used [0x00000006c0000000,0x00000006c0000000,0x00000006cab00000)
 Metaspace       used 7639K, capacity 8001K, committed 8192K, reserved 1056768K
  class space    used 852K, capacity 948K, committed 1024K, reserved 1048576K
711: [GC (Allocation Failure) [PSYoungGen: 132656K->1616K(141824K)] 132672K->1640K(316928K), 0.0017639 secs] [Times: user=0.01 sys=0.00, real=0.01 secs] 
0.750: [GC (Allocation Failure) [PSYoungGen: 132688K->1600K(266752K)] 132712K->1624K(441856K), 0.0021698 secs] [Times: user=0.01 sys=0.00, real=0.01 secs] 
0.892: [GC (Allocation Failure) [PSYoungGen: 263744K->128K(266752K)] 263768K->1716K(441856K), 0.0019107 secs] [Times: user=0.01 sys=0.00, real=0.01 secs] 
0.962: [GC (Allocation Failure) [PSYoungGen: 262272K->64K(528896K)] 263860K->1660K(704000K), 0.0005444 secs] [Times: user=0.00 sys=0.00, real=0.01 secs] 
1.209: [GC (Allocation Failure) [PSYoungGen: 524352K->64K(528896K)] 525948K->1660K(704000K), 0.0008550 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
1.355: [GC (Allocation Failure) [PSYoungGen: 524352K->64K(843776K)] 525948K->1660K(1018880K), 0.0005547 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
1.704: [GC (Allocation Failure) [PSYoungGen: 839232K->96K(843776K)] 840828K->1708K(1018880K), 0.0010083 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
1.931: [GC (Allocation Failure) [PSYoungGen: 839264K->64K(1347584K)] 840876K->1676K(1522688K), 0.0007798 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2.474: [GC (Allocation Failure) [PSYoungGen: 1343040K->32K(1279488K)] 1344652K->1652K(1454592K), 0.0005867 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2.809: [GC (Allocation Failure) [PSYoungGen: 1279008K->32K(1219072K)] 1280628K->1652K(1394176K), 0.0005913 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
3.117: [GC (Allocation Failure) [PSYoungGen: 1218592K->64K(1165312K)] 1220212K->1684K(1340416K), 0.0005397 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
