OpenJDK 64-Bit Server VM (25.202-b05) for bsd-amd64 JRE (Zulu 8.36.0.1-CA-macosx) (1.8.0_202-b05), built on Jan 29 2019 06:07:09 by "zulu_re" with gcc 4.2.1 (Based on Apple Inc. build 5658) (LLVM build 2336.11.00)
Memory: 4k page, physical 16777216k(3852976k free)

/proc/meminfo:

CommandLine flags: -XX:InitialHeapSize=268435456 -XX:MaxHeapSize=4294967296 -XX:+PrintGC -XX:+PrintGCDetails -XX:+PrintGCTimeStamps -XX:+UseCompressedClassPointers -XX:+UseCompressedOops -XX:+UseParallelGC 
Heap
 PSYoungGen      total 76288K, used 34353K [0x000000076ab00000, 0x0000000770000000, 0x00000007c0000000)
  eden space 65536K, 52% used [0x000000076ab00000,0x000000076cc8c4e8,0x000000076eb00000)
  from space 10752K, 0% used [0x000000076f580000,0x000000076f580000,0x0000000770000000)
  to   space 10752K, 0% used [0x000000076eb00000,0x000000076eb00000,0x000000076f580000)
 ParOldGen       total 175104K, used 0K [0x00000006c0000000, 0x00000006cab00000, 0x000000076ab00000)
  object space 175104K, 0% used [0x00000006c0000000,0x00000006c0000000,0x00000006cab00000)
 Metaspace       used 7657K, capacity 8005K, committed 8192K, reserved 1056768K
  class space    used 852K, capacity 948K, committed 1024K, reserved 1048576K
143: [GC (Allocation Failure) [PSYoungGen: 132704K->1632K(141824K)] 132744K->1672K(316928K), 0.0030239 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
1.228: [GC (Allocation Failure) [PSYoungGen: 132704K->1616K(266752K)] 132744K->1656K(441856K), 0.0022828 secs] [Times: user=0.01 sys=0.01, real=0.00 secs] 
1.470: [GC (Allocation Failure) [PSYoungGen: 263760K->128K(266752K)] 263800K->1728K(441856K), 0.0031961 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
1.643: [GC (Allocation Failure) [PSYoungGen: 262272K->96K(528896K)] 263872K->1712K(704000K), 0.0005844 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2.208: [GC (Allocation Failure) [PSYoungGen: 524384K->96K(528896K)] 526000K->1712K(704000K), 0.0009477 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2.622: [GC (Allocation Failure) [PSYoungGen: 524384K->64K(843776K)] 526000K->1680K(1018880K), 0.0011533 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
3.155: [GC (Allocation Failure) [PSYoungGen: 839232K->96K(800768K)] 840848K->1728K(975872K), 0.0005244 secs] [Times: user=0.00 sys=0.00, real=0.01 secs] 
3.480: [GC (Allocation Failure) [PSYoungGen: 800352K->96K(763904K)] 801984K->1728K(939008K), 0.0006224 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
3.921: [GC (Allocation Failure) [PSYoungGen: 763488K->32K(733184K)] 765120K->1672K(908288K), 0.0008280 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
4.265: [GC (Allocation Failure) [PSYoungGen: 728608K->32K(695808K)] 730248K->1672K(870912K), 0.0006312 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
4.615: [GC (Allocation Failure) [PSYoungGen: 695328K->32K(667648K)] 696968K->1672K(842752K), 0.0006159 secs] [Times: user=0.00 sys=0.00, real=0.01 secs] 
