OpenJDK 64-Bit Server VM (25.202-b05) for bsd-amd64 JRE (Zulu 8.36.0.1-CA-macosx) (1.8.0_202-b05), built on Jan 29 2019 06:07:09 by "zulu_re" with gcc 4.2.1 (Based on Apple Inc. build 5658) (LLVM build 2336.11.00)
Memory: 4k page, physical 16777216k(2921484k free)

/proc/meminfo:

CommandLine flags: -XX:InitialHeapSize=268435456 -XX:MaxHeapSize=4294967296 -XX:+PrintGC -XX:+PrintGCDetails -XX:+PrintGCTimeStamps -XX:+UseCompressedClassPointers -XX:+UseCompressedOops -XX:+UseParallelGC 
Heap
 PSYoungGen      total 76288K, used 35785K [0x000000076ab00000, 0x0000000770000000, 0x00000007c0000000)
  eden space 65536K, 54% used [0x000000076ab00000,0x000000076cdf2568,0x000000076eb00000)
  from space 10752K, 0% used [0x000000076f580000,0x000000076f580000,0x0000000770000000)
  to   space 10752K, 0% used [0x000000076eb00000,0x000000076eb00000,0x000000076f580000)
 ParOldGen       total 175104K, used 0K [0x00000006c0000000, 0x00000006cab00000, 0x000000076ab00000)
  object space 175104K, 0% used [0x00000006c0000000,0x00000006c0000000,0x00000006cab00000)
 Metaspace       used 7648K, capacity 8005K, committed 8192K, reserved 1056768K
  class space    used 852K, capacity 948K, committed 1024K, reserved 1048576K
916: [GC (Allocation Failure) [PSYoungGen: 132784K->1664K(141824K)] 132816K->1704K(316928K), 0.0017793 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
0.975: [GC (Allocation Failure) [PSYoungGen: 132736K->1712K(266240K)] 132776K->1752K(441344K), 0.0016917 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
1.144: [GC (Allocation Failure) [PSYoungGen: 263856K->128K(266752K)] 263896K->1784K(441856K), 0.0019555 secs] [Times: user=0.01 sys=0.01, real=0.00 secs] 
1.268: [GC (Allocation Failure) [PSYoungGen: 262272K->96K(529408K)] 263928K->1768K(704512K), 0.0005562 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
1.620: [GC (Allocation Failure) [PSYoungGen: 524384K->96K(529408K)] 526056K->1784K(704512K), 0.0007992 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
1.862: [GC (Allocation Failure) [PSYoungGen: 524384K->96K(843264K)] 526072K->1784K(1018368K), 0.0005162 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2.383: [GC (Allocation Failure) [PSYoungGen: 839264K->64K(800768K)] 840952K->1760K(975872K), 0.0006485 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2.771: [GC (Allocation Failure) [PSYoungGen: 800320K->96K(763904K)] 802016K->1792K(939008K), 0.0005522 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
3.127: [GC (Allocation Failure) [PSYoungGen: 763488K->32K(733184K)] 765184K->1736K(908288K), 0.0005362 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
3.467: [GC (Allocation Failure) [PSYoungGen: 728608K->96K(695808K)] 730312K->1800K(870912K), 0.0005931 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
3.790: [GC (Allocation Failure) [PSYoungGen: 695392K->96K(667648K)] 697096K->1800K(842752K), 0.0005185 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
4.100: [GC (Allocation Failure) [PSYoungGen: 663648K->64K(634368K)] 665352K->1768K(809472K), 0.0006199 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
4.396: [GC (Allocation Failure) [PSYoungGen: 633920K->64K(609280K)] 635624K->1768K(784384K), 0.0009632 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
4.691: [GC (Allocation Failure) [PSYoungGen: 605248K->64K(578560K)] 606952K->1768K(753664K), 0.0008762 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
4.970: [GC (Allocation Failure) [PSYoungGen: 578112K->96K(556032K)] 579816K->1800K(731136K), 0.0005212 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
5.236: [GC (Allocation Failure) [PSYoungGen: 552544K->64K(528384K)] 554248K->1768K(703488K), 0.0006181 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
5.482: [GC (Allocation Failure) [PSYoungGen: 527936K->96K(507904K)] 529640K->1800K(683008K), 0.0005161 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
5.715: [GC (Allocation Failure) [PSYoungGen: 504928K->96K(483328K)] 506632K->1808K(658432K), 0.0006049 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
5.942: [GC (Allocation Failure) [PSYoungGen: 482912K->96K(464896K)] 484624K->1808K(640000K), 0.0005321 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
6.169: [GC (Allocation Failure) [PSYoungGen: 461920K->64K(442368K)] 463632K->1776K(617472K), 0.0005928 secs] [Times: user=0.00 sys=0.00, real=0.01 secs] 
6.376: [GC (Allocation Failure) [PSYoungGen: 441920K->96K(425472K)] 443632K->1808K(600576K), 0.0005031 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
6.571: [GC (Allocation Failure) [PSYoungGen: 423008K->96K(405504K)] 424720K->1808K(580608K), 0.0006156 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
6.762: [GC (Allocation Failure) [PSYoungGen: 405088K->96K(390144K)] 406800K->1808K(565248K), 0.0004998 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
6.940: [GC (Allocation Failure) [PSYoungGen: 387680K->96K(371712K)] 389392K->1808K(546816K), 0.0006006 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
7.114: [GC (Allocation Failure) [PSYoungGen: 371296K->64K(357888K)] 373008K->1776K(532992K), 0.0005037 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
7.281: [GC (Allocation Failure) [PSYoungGen: 355904K->96K(341504K)] 357616K->1808K(516608K), 0.0005812 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
7.439: [GC (Allocation Failure) [PSYoungGen: 341088K->64K(329216K)] 342800K->1776K(504320K), 0.0005013 secs] [Times: user=0.00 sys=0.00, real=0.01 secs] 
7.592: [GC (Allocation Failure) [PSYoungGen: 327232K->96K(314368K)] 328944K->1808K(489472K), 0.0005725 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
7.738: [GC (Allocation Failure) [PSYoungGen: 313952K->64K(302592K)] 315664K->1776K(477696K), 0.0005513 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
7.880: [GC (Allocation Failure) [PSYoungGen: 301120K->96K(289280K)] 302832K->1808K(464384K), 0.0005455 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
8.025: [GC (Allocation Failure) [PSYoungGen: 288864K->96K(279040K)] 290576K->1808K(454144K), 0.0005038 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
