OpenJDK 64-Bit Server VM (25.202-b05) for bsd-amd64 JRE (Zulu 8.36.0.1-CA-macosx) (1.8.0_202-b05), built on Jan 29 2019 06:07:09 by "zulu_re" with gcc 4.2.1 (Based on Apple Inc. build 5658) (LLVM build 2336.11.00)
Memory: 4k page, physical 16777216k(1072896k free)

/proc/meminfo:

CommandLine flags: -XX:InitialHeapSize=268435456 -XX:MaxHeapSize=4294967296 -XX:+PrintGC -XX:+PrintGCDetails -XX:+PrintGCTimeStamps -XX:+UseCompressedClassPointers -XX:+UseCompressedOops -XX:+UseParallelGC 
Heap
 PSYoungGen      total 76288K, used 35664K [0x000000076ab00000, 0x0000000770000000, 0x00000007c0000000)
  eden space 65536K, 54% used [0x000000076ab00000,0x000000076cdd4310,0x000000076eb00000)
  from space 10752K, 0% used [0x000000076f580000,0x000000076f580000,0x0000000770000000)
  to   space 10752K, 0% used [0x000000076eb00000,0x000000076eb00000,0x000000076f580000)
 ParOldGen       total 175104K, used 0K [0x00000006c0000000, 0x00000006cab00000, 0x000000076ab00000)
  object space 175104K, 0% used [0x00000006c0000000,0x00000006c0000000,0x00000006cab00000)
 Metaspace       used 7658K, capacity 8005K, committed 8192K, reserved 1056768K
  class space    used 852K, capacity 948K, committed 1024K, reserved 1048576K
81: [GC (Allocation Failure) [PSYoungGen: 133088K->2016K(141824K)] 133120K->2056K(316928K), 0.0023747 secs] [Times: user=0.00 sys=0.00, real=0.01 secs] 
0.974: [GC (Allocation Failure) [PSYoungGen: 133088K->2016K(267776K)] 133128K->2056K(442880K), 0.0021171 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
1.204: [GC (Allocation Failure) [PSYoungGen: 264160K->64K(267776K)] 264200K->2076K(442880K), 0.0021925 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
1.380: [GC (Allocation Failure) [PSYoungGen: 262208K->96K(529920K)] 264220K->2108K(705024K), 0.0005233 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
1.838: [GC (Allocation Failure) [PSYoungGen: 524384K->64K(529920K)] 526396K->2076K(705024K), 0.0007795 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2.179: [GC (Allocation Failure) [PSYoungGen: 524352K->96K(501760K)] 526364K->2124K(676864K), 0.0005583 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2.507: [GC (Allocation Failure) [PSYoungGen: 501344K->96K(484864K)] 503372K->2132K(659968K), 0.0005304 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
2.823: [GC (Allocation Failure) [PSYoungGen: 479328K->96K(458752K)] 481364K->2132K(633856K), 0.0005418 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
3.124: [GC (Allocation Failure) [PSYoungGen: 458336K->32K(443904K)] 460372K->2068K(619008K), 0.0010684 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
3.445: [GC (Allocation Failure) [PSYoungGen: 438304K->64K(419840K)] 440340K->2108K(594944K), 0.0026733 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
3.763: [GC (Allocation Failure) [PSYoungGen: 419392K->96K(406528K)] 421436K->2140K(581632K), 0.0005576 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
4.052: [GC (Allocation Failure) [PSYoungGen: 401504K->96K(385024K)] 403548K->2140K(560128K), 0.0005325 secs] [Times: user=0.00 sys=0.00, real=0.01 secs] 
4.310: [GC (Allocation Failure) [PSYoungGen: 384608K->64K(372736K)] 386652K->2108K(547840K), 0.0005202 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
4.555: [GC (Allocation Failure) [PSYoungGen: 368192K->96K(353280K)] 370236K->2140K(528384K), 0.0005360 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
4.793: [GC (Allocation Failure) [PSYoungGen: 352864K->96K(342016K)] 354908K->2140K(517120K), 0.0005327 secs] [Times: user=0.00 sys=0.01, real=0.00 secs] 
5.036: [GC (Allocation Failure) [PSYoungGen: 338016K->96K(324608K)] 340060K->2140K(499712K), 0.0005305 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
5.256: [GC (Allocation Failure) [PSYoungGen: 324192K->96K(314368K)] 326236K->2148K(489472K), 0.0005265 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
5.469: [GC (Allocation Failure) [PSYoungGen: 310880K->96K(298496K)] 312932K->2148K(473600K), 0.0005415 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
5.678: [GC (Allocation Failure) [PSYoungGen: 298080K->96K(289792K)] 300132K->2148K(464896K), 0.0005065 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
5.871: [GC (Allocation Failure) [PSYoungGen: 286304K->96K(275456K)] 288356K->2148K(450560K), 0.0005307 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
6.051: [GC (Allocation Failure) [PSYoungGen: 275040K->96K(267264K)] 277092K->2148K(442368K), 0.0005129 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
6.220: [GC (Allocation Failure) [PSYoungGen: 264288K->96K(254464K)] 266340K->2148K(429568K), 0.0005352 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
6.384: [GC (Allocation Failure) [PSYoungGen: 254048K->96K(246784K)] 256100K->2148K(421888K), 0.0005129 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
6.558: [GC (Allocation Failure) [PSYoungGen: 244320K->96K(235520K)] 246372K->2148K(410624K), 0.0014213 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
6.717: [GC (Allocation Failure) [PSYoungGen: 235104K->64K(228864K)] 237156K->2116K(403968K), 0.0011319 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
6.865: [GC (Allocation Failure) [PSYoungGen: 226368K->96K(218112K)] 228420K->2148K(393216K), 0.0005288 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
7.010: [GC (Allocation Failure) [PSYoungGen: 217696K->96K(211456K)] 219748K->2148K(386560K), 0.0005155 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
7.147: [GC (Allocation Failure) [PSYoungGen: 209504K->96K(202240K)] 211556K->2148K(377344K), 0.0005221 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
