OpenJDK 64-Bit Server VM (25.202-b05) for bsd-amd64 JRE (Zulu 8.36.0.1-CA-macosx) (1.8.0_202-b05), built on Jan 29 2019 06:07:09 by "zulu_re" with gcc 4.2.1 (Based on Apple Inc. build 5658) (LLVM build 2336.11.00)
Memory: 4k page, physical 16777216k(741696k free)

/proc/meminfo:

CommandLine flags: -XX:InitialHeapSize=268435456 -XX:MaxHeapSize=4294967296 -XX:+PrintGC -XX:+PrintGCDetails -XX:+PrintGCTimeStamps -XX:+UseCompressedClassPointers -XX:+UseCompressedOops -XX:+UseParallelGC 
Heap
 PSYoungGen      total 76288K, used 35677K [0x000000076ab00000, 0x0000000770000000, 0x00000007c0000000)
  eden space 65536K, 54% used [0x000000076ab00000,0x000000076cdd7660,0x000000076eb00000)
  from space 10752K, 0% used [0x000000076f580000,0x000000076f580000,0x0000000770000000)
  to   space 10752K, 0% used [0x000000076eb00000,0x000000076eb00000,0x000000076f580000)
 ParOldGen       total 175104K, used 0K [0x00000006c0000000, 0x00000006cab00000, 0x000000076ab00000)
  object space 175104K, 0% used [0x00000006c0000000,0x00000006c0000000,0x00000006cab00000)
 Metaspace       used 7659K, capacity 8005K, committed 8192K, reserved 1056768K
  class space    used 852K, capacity 948K, committed 1024K, reserved 1048576K
942: [GC (Allocation Failure) [PSYoungGen: 132704K->1664K(141824K)] 132728K->1696K(316928K), 0.0017004 secs] [Times: user=0.01 sys=0.00, real=0.01 secs] 
1.039: [GC (Allocation Failure) [PSYoungGen: 132736K->1632K(265728K)] 132768K->1664K(440832K), 0.0016442 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
1.284: [GC (Allocation Failure) [PSYoungGen: 263776K->128K(266240K)] 263808K->1739K(441344K), 0.0018607 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
1.473: [GC (Allocation Failure) [PSYoungGen: 262272K->96K(528896K)] 263883K->1723K(704000K), 0.0005187 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
1.961: [GC (Allocation Failure) [PSYoungGen: 524384K->96K(501760K)] 526011K->1723K(676864K), 0.0005294 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
2.322: [GC (Allocation Failure) [PSYoungGen: 501344K->96K(479744K)] 502971K->1739K(654848K), 0.0005440 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2.663: [GC (Allocation Failure) [PSYoungGen: 479328K->96K(462848K)] 480971K->1747K(637952K), 0.0005020 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2.986: [GC (Allocation Failure) [PSYoungGen: 458336K->96K(438784K)] 459987K->1747K(613888K), 0.0006105 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
3.296: [GC (Allocation Failure) [PSYoungGen: 438368K->32K(423424K)] 440019K->1691K(598528K), 0.0005345 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
3.596: [GC (Allocation Failure) [PSYoungGen: 419360K->32K(401920K)] 421019K->1691K(577024K), 0.0006491 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
3.880: [GC (Allocation Failure) [PSYoungGen: 401440K->64K(388608K)] 403099K->1723K(563712K), 0.0005076 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
